Company,Website,Location,Contact,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size,Verification,Company ID,Last Updated,Status
CommCreative,https://www.commcreative.com,"Framingham, MA",508-861-2829,5.0,9,$150 - $199 / hr,"$50,000+",10 - 49,SILVER VERIFIED,043248830,"October 3, 2021",Active
BayCreative,http://www.baycreative.com,"San Francisco, CA",415.434.4344,4.8,23,$100 - $149 / hr,"$10,000+",10 - 49,GOLD VERIFIED,C3183141,"March 21, 2022",Active
Spire Agency,http://www.spireagency.com,"Addison, TX",2143964143,4.9,11,$150 - $199 / hr,"$25,000+",10 - 49,GOLD VERIFIED,0801151561,"November 21, 2020",Active
500 Designs,http://www.500designs.com,"Irvine, CA",6578882203,5.0,17,$100 - $149 / hr,"$25,000+",50 - 249,BRONZE VERIFIED,6384241,"August 27, 2021",Active
Rhapsody,https://www.rhapsodymedia.com,"London, United Kingdom",+44 2077291000,5.0,3,Undisclosed,"$10,000+",50 - 249,BRONZE VERIFIED,01280705,"April 2, 2021",Active
Cutwater,https://www.cutwatersf.com,"San Francisco, CA",4153419100,4.8,4,Undisclosed,"$100,000+",10 - 49,BRONZE VERIFIED,201104110286,"June 30, 2021",Active
Manifesto Agency,http://www.manifestoagency.com,"Portland, OR",9712257780,4.9,18,$150 - $199 / hr,"$50,000+",10 - 49,GOLD VERIFIED,M080448,"December 1, 2021",Active
Anchour,https://www.anchour.com,"Lewiston, ME",207-210-2001,5.0,32,$150 - $199 / hr,"$25,000+",10 - 49,GOLD VERIFIED,20140263DC,"December 20, 2018",Active
Niftic Agency,https://niftic.agency,"Washington, DC",8018395537,5.0,13,$150 - $199 / hr,"$10,000+",2 - 9,GOLD VERIFIED,10414519-0142,"March 17, 2022",Expired
Division of Labor,https://www.divisionoflabor.com,"Sausalito, CA",4159448185,4.9,16,$200 - $300 / hr,"$25,000+",2 - 9,GOLD VERIFIED,4749228,"March 21, 2022",Active
Mabbly,http://www.mabbly.com,"Chicago, IL",(312) 448-7473,5.0,21,$150 - $199 / hr,"$25,000+",10 - 49,GOLD VERIFIED,04406974,"January 16, 2022",Active
Our Own Brand,https://www.ourownbrand.co,"London, United Kingdom",02080501921,5.0,18,$150 - $199 / hr,"$5,000+",2 - 9,GOLD VERIFIED,11277494,"December 13, 2021",Active
Creativos RD,https://www.creativosrd.com,"Guadalajara, Mexico",+523338094387,4.8,14,$150 - $199 / hr,"$5,000+",2 - 9,BRONZE VERIFIED,CRD040824SL0,Not Specified,Not Specified
ThreeSixtyEight,https://www.threesixtyeight.com,"Baton Rouge, LA",2256158443,4.9,43,$150 - $199 / hr,"$25,000+",10 - 49,BRONZE VERIFIED,42159657K,"March 3, 2022",Active
Jacob Tyler,http://www.jacobtyler.com,"Del Mar, CA",619-379-0007,4.9,55,$150 - $199 / hr,"$25,000+",10 - 49,GOLD VERIFIED,C2290493,"November 16, 2020",Active
Starfish,https://www.starfishco.com,"New York, NY",9176230897,4.9,21,$150 - $199 / hr,"$50,000+",10 - 49,GOLD VERIFIED,2847588,"January 1, 2021",Active
SGK,https://www.sgkinc.com,"London, United Kingdom",+44 7584219235,4.9,4,$100 - $149 / hr,"$25,000+","1,000 - 9,999",BRONZE VERIFIED,56950427,"May 5, 2021",Active
Rule29,http://rule29.com,"Geneva, IL",630.262.1009,4.9,21,$150 - $199 / hr,"$25,000+",10 - 49,GOLD VERIFIED,60821593,"January 19, 2019",Active
Lift Interactive Inc.,https://liftinteractive.com,"Edmonton, Canada",780.426.1176,4.8,47,$150 - $199 / hr,"$25,000+",10 - 49,GOLD VERIFIED,854553443,"December 21, 2021",Active
Daniel Brian Advertising,https://danielbrian.com,"Rochester, MI",+1.248.601.5222,4.8,2,$100 - $149 / hr,"$10,000+",50 - 249,BRONZE VERIFIED,800052676,"December 11, 2021",Active
THIEL,https://thiel.com,"Milwaukee, WI",4142710775,5.0,20,$100 - $149 / hr,"$10,000+",10 - 49,GOLD VERIFIED,T074624,"July 14, 2020",Active
BLVR,http://blvr.com,"Del Mar, CA",619 501 3392,5.0,35,$150 - $199 / hr,"$100,000+",10 - 49,GOLD VERIFIED,C2659416,"March 18, 2022",Active
The Bureau Of Small Projects,https://www.smallprojectsbureau.com,"Rolling Hills Estates, CA",(800) 674-3616,5.0,43,$150 - $199 / hr,"$10,000+",10 - 49,GOLD VERIFIED,201913510624,"August 3, 2021",Active
FlowState Branding,https://flowstatebranding.com,"Denver, CO",(720) 336-3311,4.9,20,$150 - $199 / hr,"$10,000+",10 - 49,GOLD VERIFIED,20161025076,"October 31, 2020",Active
ParkerWhite Brand Interactive,https://www.parkerwhite.com,"Encinitas, CA",760.230.5657,4.8,18,$100 - $149 / hr,"$25,000+",2 - 9,GOLD VERIFIED,C1939349,"September 2, 2021",Active
Moloko Creative Inc,http://mlk.global,"St. Petersburg, FL",+17867892290,4.9,17,$25 - $49 / hr,"$1,000+",10 - 49,GOLD VERIFIED,P21000063482,"November 30, 2021",Active
Arc Reactions Inc,https://arcreactions.com,"Calgary, Canada",+1.403.775.0506,5.0,18,$150 - $199 / hr,"$10,000+",2 - 9,GOLD VERIFIED,810026716RC0001,"September 4, 2021",Active
Social Driver,http://www.socialdriver.com,"Washington, DC",866-395-7845,4.9,52,$150 - $199 / hr,"$10,000+",10 - 49,GOLD VERIFIED,LC0908335,"November 16, 2020",Active
Wildish & Co.,https://www.wildishandco.co.uk,"London, United Kingdom",020 3488 2646,4.9,24,$100 - $149 / hr,"$10,000+",2 - 9,GOLD VERIFIED,07799598,"September 23, 2021",Active
Theory SF,http://www.theorysf.com,"San Francisco, CA",4152358111,4.9,20,$150 - $199 / hr,"$25,000+",2 - 9,GOLD VERIFIED,201502010037,"February 1, 2019",Active
